what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380408209339
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1380408211663
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1380408211710
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1380408211726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408228230
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408229588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408229603
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408232708
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project.commands.bspEditor",1380408232708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408250850
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408252207
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408252223
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408253814
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project.commands.systemConsole",1380408253830
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408289772
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408293781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408298742
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380408365261
error,log,,,"SOPC design not set.",1380408372390
error,log,,,"CPU module not set.",1380408372406
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380408372406
error,log,,,"CPU architecture type not set. ",1380408372421
error,log,,,"CPU master group not set.",1380408372421
error,log,,,"SOPC design not set.",1380408372437
error,log,,,"CPU module not set.",1380408372437
