what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU module not set.",1380580149849
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580149859
error,log,,,"CPU architecture type not set. ",1380580149859
error,log,,,"CPU master group not set.",1380580149869
opened,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380580151239
error,log,,,"sun.awt.X11.XlibWrapper",1380580151339
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1380580151639
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1380580151649
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380580205224
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580215709
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580275674
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1380580278964
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380580280164
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380580301644
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380580326514
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1380580329654
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380580331134
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380580522084
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580524624
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580814439
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580824029
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580855357
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1380581023142
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1380581027662
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1380581110591
