what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380579844528
java.vm.specification.version,sysinfo,,,"1.0",1380579844528
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380579844528
java.vm.version,sysinfo,,,"14.0-b16",1380579844528
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380579850058
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1380579850398
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1380579850448
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1380579852138
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1380579852588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380579852598
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380579919888
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1380579998558
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1380579998588
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1380579998588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380580013868
error,log,,,"SOPC design not set.",1380580081518
error,log,,,"CPU module not set.",1380580081528
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580081528
error,log,,,"CPU architecture type not set. ",1380580081538
error,log,,,"CPU master group not set.",1380580081538
error,log,,,"SOPC design not set.",1380580081548
error,log,,,"CPU module not set.",1380580081558
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580081558
error,log,,,"CPU architecture type not set. ",1380580081568
error,log,,,"CPU master group not set.",1380580081568
