what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1380575396389
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1380575396389
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1380575396389
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1380575396389
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1380575396389
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1380575396389
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1380575396399
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1380575396399
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1380575396399
os,sysinfo,,,"win32",1380575396399
arch,sysinfo,,,"x86",1380575396399
ws,sysinfo,,,"win32",1380575396399
locale,sysinfo,,,"en_CA",1380575396399
processors,sysinfo,,,"4",1380575396399
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380575396399
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1380575396399
java.specification.name,sysinfo,,,"Java Platform API Specification",1380575396399
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380575396399
java.specification.version,sysinfo,,,"1.6",1380575396399
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380575396399
java.version,sysinfo,,,"1.6.0_14",1380575396399
java.vm.info,sysinfo,,,"mixed mode",1380575396399
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380575396399
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380575396399
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380575396399
