what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1380578345330
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578351290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578402210
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380578402540
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1380578404150
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1380578409410
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1380578409460
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578415910
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578432190
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578434320
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578446670
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380578446690
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1380578449910
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1380578450900
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1380578450950
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1380578451330
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578456940
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578875998
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1380578877828
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1380578879008
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578882228
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578883288
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380578883488
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1380578884088
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1380578884098
