what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1380295129250
error,log,,,"Expected base address of system ID component is undefined.",1380295129250
error,log,,,"No ELF file path has been selected.",1380295129260
error,log,,,"SOPC design not set.",1380295129260
error,log,,,"CPU module not set.",1380295129270
error,log,,,"No ELF file path has been selected.",1380295129280
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380295129280
error,log,,,"CPU architecture type not set. ",1380295129290
error,log,,,"Expected base address of system ID component is undefined.",1380295129290
error,log,,,"CPU master group not set.",1380295129310
error,log,,,"Expected base address of system ID component is undefined.",1380295129310
error,log,,,"SOPC design not set.",1380295129320
error,log,,,"CPU module not set.",1380295129330
error,log,,,"No ELF file path has been selected.",1380295129340
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380295129340
error,log,,,"No ELF file path has been selected.",1380295129350
error,log,,,"CPU architecture type not set. ",1380295129360
error,log,,,"Expected base address of system ID component is undefined.",1380295129360
error,log,,,"CPU master group not set.",1380295129380
error,log,,,"Expected base address of system ID component is undefined.",1380295129380
error,log,,,"SOPC design not set.",1380295129390
error,log,,,"No ELF file path has been selected.",1380295129400
error,log,,,"CPU module not set.",1380295129400
error,log,,,"No ELF file path has been selected.",1380295129410
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380295129410
