what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1380646448019
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380646448019
java.version,sysinfo,,,"1.6.0_14",1380646448019
java.vm.info,sysinfo,,,"mixed mode",1380646448019
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380646448019
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380646448019
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380646448019
java.vm.specification.version,sysinfo,,,"1.0",1380646448019
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380646448019
java.vm.version,sysinfo,,,"14.0-b16",1380646448019
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380646493749
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1380646493759
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380646497049
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1380646652969
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1380646652979
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380646662969
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380646663009
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380646666859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380646892799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380647143019
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380647224139
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380647479959
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380647628279
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380647785499
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380647805319
