what,kind,bundleId,bundleVersion,description,time
error,log,,,"System timestamp mismatch - connected: ""0"", expected: ""1378862049"".",1379613363965
error,log,,,"System timestamp mismatch - connected: ""0"", expected: ""1378862049"".",1379613364075
error,log,,,"System timestamp mismatch - connected: ""0"", expected: ""1378862049"".",1379613364075
error,log,,,"SOPC design not set.",1379613364137
error,log,,,"CPU module not set.",1379613364137
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379613364153
error,log,,,"CPU architecture type not set. ",1379613364153
error,log,,,"CPU master group not set.",1379613364153
error,log,,,"SOPC design not set.",1379613364168
error,log,,,"CPU module not set.",1379613364168
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379613364168
error,log,,,"CPU architecture type not set. ",1379613364184
error,log,,,"CPU master group not set.",1379613364184
error,log,,,"Expected base address of system ID component is undefined.",1379613364184
error,log,,,"SOPC design not set.",1379613364199
error,log,,,"CPU module not set.",1379613364199
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379613364215
error,log,,,"CPU architecture type not set. ",1379613364215
error,log,,,"CPU master group not set.",1379613364215
error,log,,,"Expected base address of system ID component is undefined.",1379613364231
error,log,,,"SOPC design not set.",1379613364231
error,log,,,"CPU module not set.",1379613364231
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379613364246
error,log,,,"CPU architecture type not set. ",1379613364246
error,log,,,"CPU master group not set.",1379613364246
