what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1378862299999
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1378862300029
started,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1378862300029
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1378862300029
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1378862300029
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1378862300029
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1378862300029
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1378862300029
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1378862300039
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1378862300039
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1378862300039
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1378862300079
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1378862300079
os,sysinfo,,,"win32",1378862300079
arch,sysinfo,,,"x86",1378862300079
ws,sysinfo,,,"win32",1378862300079
locale,sysinfo,,,"en_CA",1378862300079
processors,sysinfo,,,"4",1378862300079
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1378862300079
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1378862300079
java.specification.name,sysinfo,,,"Java Platform API Specification",1378862300079
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378862300079
java.specification.version,sysinfo,,,"1.6",1378862300079
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1378862300079
java.version,sysinfo,,,"1.6.0_14",1378862300079
