what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1378862306079
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1378862337928
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1378862338098
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862347038
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862562095
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1378862577525
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1378862578915
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1378862578935
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1378862581415
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1378862609344
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1378862610004
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1378862615354
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1378862615584
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1378862615754
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1378862616284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862616634
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862672564
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862732804
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862743474
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862749414
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862767144
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1378862777404
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1378862777444
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1378862778064
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1378862787744
